example_id,o_tract_fips,d_tract_fips,path_order,first_raw_position,path_occurrences,screenline_id,tract_a,tract_b,screenline_color,shared_boundary_m,is_validation_candidate,is_in_cached_validation_path,mapped_mdot_station_ids,mapped_fhwa_station_ids
61,24017851301,24017851400,1,1,1,24017851301__24017851302,24017851301,24017851302,#1f77b4,14165.819648643806,True,True,B1709,
61,24017851301,24017851400,2,2,1,24017851302__24017851400,24017851302,24017851400,#ff7f0e,9938.539853037675,True,True,B080109;B1701;B1702;S2014080614,
62,24031701211,24031700904,1,1,2,24031700902__24031701211,24031700902,24031701211,#1f77b4,1471.914492409805,True,True,B150041,
62,24031701211,24031700904,2,4,1,24031700904__24031701102,24031700904,24031701102,#ff7f0e,2586.531387116375,True,True,B2979;S2009150005;S2009150006;S2012150944;S2012150956,
63,24045010300,24045000300,1,1,1,24045000300__24045010300,24045000300,24045010300,#1f77b4,1392.945910322422,True,True,B220027;B220041;B4111;B4161,
63,24045010300,24045000300,2,2,2,24045000300__24045010200,24045000300,24045010200,#ff7f0e,1870.56068793981,True,True,B220020;B4111,
64,24029950200,24029950500,1,1,1,24029950200__24029950400,24029950200,24029950400,#1f77b4,12235.870882997762,True,True,B2631;B2664,
64,24029950200,24029950500,2,2,1,24029950300__24029950400,24029950300,24029950400,#ff7f0e,12063.15356918434,True,True,B2602,
65,24005450100,24005441102,1,1,1,24005441101__24005450100,24005441101,24005450100,#1f77b4,2161.7684077223485,True,True,B0912;S2012030027,
65,24005450100,24005441102,2,2,1,24005441101__24005441102,24005441101,24005441102,#ff7f0e,2790.495467309781,True,True,S2009030071;S2012030025,
66,24031701415,24031701421,1,1,1,24031701414__24031701415,24031701414,24031701415,#1f77b4,3870.7116843324607,True,True,B2986,
66,24031701415,24031701421,2,2,1,24031701414__24031701421,24031701414,24031701421,#ff7f0e,1947.1748477121332,True,True,B2726;S2006150069;S2006150070;S2006150071;S2006150072;S2006150073;S2006150074;S2006150075;S2006150076,
67,24005401301,24510280401,1,1,2,24005401301__24005401302,24005401301,24005401302,#1f77b4,1549.337968098634,True,True,B1211;S2010030120;S2010030121;S2010030122;S2011031021;S2012031546,
67,24005401301,24510280401,2,3,1,24005401301__24510280401,24005401301,24510280401,#ff7f0e,415.7225430477826,True,True,B1211;S2009030156;S2010030120;S2010030121;S2010030122,
68,24005430900,24510200500,1,2,1,24510250103__24510250206,24510250103,24510250206,#1f77b4,2177.542249246212,True,True,B240039;B240120;S2002240002;S2006240001;S2006240007;S2008030084;S2012241369;S2012241381;S2013240470,
