example_id,o_tract_fips,d_tract_fips,path_order,screenline_id,screenline_color,station_id,is_fhwa_station,boundary_distance_m,boundary_centroid_distance_ratio,station_x,station_y
19,24510270502,24005440100,1,24510270501__24510270502,#1f77b4,S2009030052,False,94.52187983425036,0.07227521163969737,440614.24357130675,187656.7903670199
19,24510270502,24005440100,2,24005440100__24510270501,#ff7f0e,B1050,False,112.5257799294518,0.11565049019655681,439345.4234895459,189531.01540586274
19,24510270502,24005440100,2,24005440100__24510270501,#ff7f0e,S2012240147,False,221.2383000922964,0.25130706188327345,439126.09081029356,189255.94723104654
19,24510270502,24005440100,2,24005440100__24510270501,#ff7f0e,S2012240148,False,229.62361581541884,0.2859721173403194,439187.73363954184,189208.5219687704
20,11001001702,24031701704,1,11001001702__24031701701,#1f77b4,S2012150982,False,59.872851094787364,0.13997512408746096,398920.9367183684,145158.4702473354
20,11001001702,24031701704,2,24031701701__24031701704,#ff7f0e,B150109,False,309.4687989142739,0.4157030815723459,400377.1874476812,145949.75445372553
20,11001001702,24031701704,2,24031701701__24031701704,#ff7f0e,B2921,False,410.4296120933797,0.3364086069527075,400047.0527958599,146458.93257657238
21,24005452400,24005980000,1,24005452400__24005452500,#1f77b4,B1066,False,4.576471522879074,0.006389435183557373,446157.2391245145,177353.16945971776
21,24005452400,24005980000,2,24005452400__24005980000,#ff7f0e,S2010030169,False,56.28195722532046,0.01686222211792267,446983.7309823545,175364.33489276964
21,24005452400,24005980000,2,24005452400__24005980000,#ff7f0e,S2010030170,False,48.45133936103022,0.014569319615434244,446981.6850531195,175376.76794178574
22,24005403500,24005403602,1,24005403500__24005403601,#1f77b4,S2009030047,False,12.72651673002994,0.008661899791866242,427375.77024839947,189361.57964122598
22,24005403500,24005403602,1,24005403500__24005403601,#1f77b4,S2012030221,False,55.17665094573224,0.03903787449990103,427317.4301224561,189368.3263975061
22,24005403500,24005403602,2,24005403601__24005403602,#ff7f0e,B030010,False,4.178624129925337,0.0047848522860827825,429226.53676622786,190818.51603266902
22,24005403500,24005403602,2,24005403601__24005403602,#ff7f0e,P0076,True,64.39231225701285,0.07509139926347835,429084.45206955296,190841.28307591984
23,24005401102,24005402406,1,24005401102__24005401507,#1f77b4,B1109,False,22.570687609740805,0.020266701774472366,422028.46156011743,183517.11402992616
23,24005401102,24005402406,1,24005401102__24005401507,#1f77b4,B1110,False,17.457675737839832,0.01476845749562217,422086.7064642809,182095.32406147732
23,24005401102,24005402406,1,24005401102__24005401507,#1f77b4,S1997030030,False,90.46158087917145,0.08986626751678618,421965.776230216,182226.12416305754
23,24005401102,24005402406,1,24005401102__24005401507,#1f77b4,S1999030114,False,78.57470447963085,0.09498979959855343,421945.02057031693,182575.10872368413
23,24005401102,24005402406,1,24005401102__24005401507,#1f77b4,S1999030115,False,29.487756607245462,0.034805027454432105,421987.96432098775,182662.7390165761
23,24005401102,24005402406,1,24005401102__24005401507,#1f77b4,S2010030030,False,34.10317977558011,0.02740452282144189,421971.74086887005,183764.59458363414
23,24005401102,24005402406,2,24005402406__24005402407,#ff7f0e,S2013030563,False,259.64770898539246,0.2771970320051556,420546.04977353587,183663.47020957223
24,24025301401,24025301302,1,24025301301__24025301401,#1f77b4,S2011120698,False,97.0239117161886,0.04775831425338533,454071.6912655326,195256.45587165118
24,24025301401,24025301302,1,24025301301__24025301401,#1f77b4,S2011120702,False,1.1491716368247298,0.0007418828019993106,455603.96067307127,195559.30674535775
24,24025301401,24025301302,2,24025301301__24025301302,#ff7f0e,B120025,False,0.7445891118850082,0.0009533221192811511,457414.63549161435,195823.6011058464
24,24025301401,24025301302,2,24025301301__24025301302,#ff7f0e,B2342,False,15.642952377706433,0.031776480230843236,457348.7561562274,196210.7189338688
25,24003702204,24033800513,1,24003702204__24003702300,#1f77b4,B020051,False,0.65579500929993,0.0004855641984292938,425595.32700094895,146931.38652866348
25,24003702204,24033800513,1,24003702204__24003702300,#1f77b4,B0733,False,0.9955848433844426,0.0011513182605917894,426025.15881423425,147157.97857019922
25,24003702204,24033800513,2,24033800504__24033800513,#ff7f0e,S2012161225,False,0.5033651290632191,0.00023499934880127655,422413.498894607,145498.6363465853
26,24510080500,24510090900,1,24510080500__24510080600,#1f77b4,B240037,False,2.2516547246331635,0.00557569506040084,434696.9178494992,182721.34503801557
26,24510080500,24510090900,1,24510080500__24510080600,#1f77b4,B240141,False,83.94178260835268,0.4979125396477183,434932.2975992297,182654.9049095881
26,24510080500,24510090900,2,24510080600__24510090900,#ff7f0e,B240037,False,68.62382788879484,0.16993082198590087,434696.9178494992,182721.34503801557
27,24037875600,24037875802,1,24037875600__24037875700,#1f77b4,B180009,False,0.1337921845328372,2.7751063684872198e-05,438170.9542442509,74838.84740589958
27,24037875600,24037875802,1,24037875600__24037875700,#1f77b4,B3628,False,80.37965571062037,0.010411165926816263,440127.4694149449,72457.14499705721
27,24037875600,24037875802,1,24037875600__24037875700,#1f77b4,B3629,False,98.52994194865263,0.020837041425046186,437956.38249287714,74884.72324588493
27,24037875600,24037875802,1,24037875600__24037875700,#1f77b4,B3630,False,2.1621769960308295,0.0007669423897558401,436450.24268348655,76750.04254803204
27,24037875600,24037875802,1,24037875600__24037875700,#1f77b4,B3632,False,4.039519328925345,0.0007255408870593082,429837.2069058676,81282.61820283695
27,24037875600,24037875802,2,24037875700__24037875802,#ff7f0e,B3628,False,149.90989215106296,0.03403990037317294,440127.4694149449,72457.14499705721
