scenario,activity_pair,vehicle_trips,share
real,18 -> 14,23.71395507,0.0001087774149057964
real,11 -> 14,23.06445274,0.0001057981065523758
real,14 -> 18,23.06178201,0.0001057858557445939
real,6 -> 15,22.96243082,0.0001053301255391468
real,13 -> 4,22.601254,0.0001036733845742793
real,9 -> 3,21.738596819999998,9.971632141407131e-05
real,17 -> 2,21.08127106,9.670112649138867e-05
real,14 -> 13,21.03766602,9.650110740920427e-05
real,11 -> 9,20.34396126,9.331903970780647e-05
real,14 -> 10,19.749882369999998,9.059396218642508e-05
real,18 -> 15,18.69300833,8.574601397985689e-05
real,3 -> 13,17.86161032,8.193233861365727e-05
real,13 -> 18,17.42935434,7.994955303684493e-05
