matsim_link_id,count_link_id,direction
mdot_aadt_S2010020088_168_rev,mdot_aadt_S2010020088_168,rev
mdot_aadt_B1042_169_fwd,mdot_aadt_B1042_169,fwd
mdot_aadt_B1042_169_rev,mdot_aadt_B1042_169,rev
mdot_aadt_V2013000161_170_fwd,mdot_aadt_V2013000161_170,fwd
mdot_aadt_V2013000161_170_rev,mdot_aadt_V2013000161_170,rev
mdot_aadt_V2013000320_171_fwd,mdot_aadt_V2013000320_171,fwd
mdot_aadt_V2013000320_171_rev,mdot_aadt_V2013000320_171,rev
mdot_aadt_S2012030208_172_fwd,mdot_aadt_S2012030208_172,fwd
mdot_aadt_S2012030208_172_rev,mdot_aadt_S2012030208_172,rev
mdot_aadt_B2581_173_fwd,mdot_aadt_B2581_173,fwd
mdot_aadt_B2581_173_rev,mdot_aadt_B2581_173,rev
mdot_aadt_S2010010051_174_fwd,mdot_aadt_S2010010051_174,fwd
mdot_aadt_S2010010051_174_rev,mdot_aadt_S2010010051_174,rev
mdot_aadt_S2006010020_175_fwd,mdot_aadt_S2006010020_175,fwd
mdot_aadt_S2006010020_175_rev,mdot_aadt_S2006010020_175,rev
mdot_aadt_B1117_176_fwd,mdot_aadt_B1117_176,fwd
mdot_aadt_B1117_176_rev,mdot_aadt_B1117_176,rev
mdot_aadt_V2013000148_177_fwd,mdot_aadt_V2013000148_177,fwd
mdot_aadt_V2013000148_177_rev,mdot_aadt_V2013000148_177,rev
mdot_aadt_S2011020859_178_fwd,mdot_aadt_S2011020859_178,fwd
mdot_aadt_S2011020859_178_rev,mdot_aadt_S2011020859_178,rev
mdot_aadt_S2011070556_179_fwd,mdot_aadt_S2011070556_179,fwd
mdot_aadt_S2011070556_179_rev,mdot_aadt_S2011070556_179,rev
mdot_aadt_S2010020038_180_fwd,mdot_aadt_S2010020038_180,fwd
mdot_aadt_S2010020038_180_rev,mdot_aadt_S2010020038_180,rev
mdot_aadt_B040014_181_fwd,mdot_aadt_B040014_181,fwd
mdot_aadt_B040014_181_rev,mdot_aadt_B040014_181,rev
mdot_aadt_B0528_182_fwd,mdot_aadt_B0528_182,fwd
mdot_aadt_B0528_182_rev,mdot_aadt_B0528_182,rev
mdot_aadt_S2010020161_183_fwd,mdot_aadt_S2010020161_183,fwd
mdot_aadt_S2010020161_183_rev,mdot_aadt_S2010020161_183,rev
mdot_aadt_B1433_184_fwd,mdot_aadt_B1433_184,fwd
