taz,x,y,lon,lat,out_sr,state,stfips,cntyfips,fipsstco,region
1092,-76.85860597,38.89956937,-76.85860597,38.89956937,4326,Maryland,24,33,24033,TPB Modeled Region
1093,-76.84563402,38.89948780,-76.84563402,38.89948780,4326,Maryland,24,33,24033,TPB Modeled Region
1094,-76.85097771,38.90087981,-76.85097771,38.90087981,4326,Maryland,24,33,24033,TPB Modeled Region
1095,-76.83782081,38.90697821,-76.83782081,38.90697821,4326,Maryland,24,33,24033,TPB Modeled Region
1096,-76.83723964,38.89949696,-76.83723964,38.89949696,4326,Maryland,24,33,24033,TPB Modeled Region
1097,-76.83244728,38.89320746,-76.83244728,38.89320746,4326,Maryland,24,33,24033,TPB Modeled Region
1098,-76.83811295,38.88712072,-76.83811295,38.88712072,4326,Maryland,24,33,24033,TPB Modeled Region
1099,-76.82090069,38.88097918,-76.82090069,38.88097918,4326,Maryland,24,33,24033,TPB Modeled Region
1100,-76.81664008,38.88981691,-76.81664008,38.88981691,4326,Maryland,24,33,24033,TPB Modeled Region
1101,-76.81446107,38.89511064,-76.81446107,38.89511064,4326,Maryland,24,33,24033,TPB Modeled Region
1102,-76.82634011,38.89565643,-76.82634011,38.89565643,4326,Maryland,24,33,24033,TPB Modeled Region
1103,-76.82653831,38.90258923,-76.82653831,38.90258923,4326,Maryland,24,33,24033,TPB Modeled Region
1104,-76.81511358,38.90064192,-76.81511358,38.90064192,4326,Maryland,24,33,24033,TPB Modeled Region
1105,-76.79082889,38.91441914,-76.79082889,38.91441914,4326,Maryland,24,33,24033,TPB Modeled Region
1106,-76.80486380,38.91023623,-76.80486380,38.91023623,4326,Maryland,24,33,24033,TPB Modeled Region
1107,-76.81526829,38.90946606,-76.81526829,38.90946606,4326,Maryland,24,33,24033,TPB Modeled Region
1108,-76.82820061,38.91045343,-76.82820061,38.91045343,4326,Maryland,24,33,24033,TPB Modeled Region
1109,-76.82406301,38.92200098,-76.82406301,38.92200098,4326,Maryland,24,33,24033,TPB Modeled Region
1110,-76.83034350,38.93925064,-76.83034350,38.93925064,4326,Maryland,24,33,24033,TPB Modeled Region
1111,-76.84528755,38.92176540,-76.84528755,38.92176540,4326,Maryland,24,33,24033,TPB Modeled Region
1112,-76.83561758,38.92667385,-76.83561758,38.92667385,4326,Maryland,24,33,24033,TPB Modeled Region
1113,-76.84557784,38.91103470,-76.84557784,38.91103470,4326,Maryland,24,33,24033,TPB Modeled Region
1114,-76.85617424,38.92318134,-76.85617424,38.92318134,4326,Maryland,24,33,24033,TPB Modeled Region
1115,-76.85815195,38.91081231,-76.85815195,38.91081231,4326,Maryland,24,33,24033,TPB Modeled Region
1116,-76.87320664,38.91603647,-76.87320664,38.91603647,4326,Maryland,24,33,24033,TPB Modeled Region
1117,-76.87225103,38.92202156,-76.87225103,38.92202156,4326,Maryland,24,33,24033,TPB Modeled Region
1118,-76.86302146,38.92874605,-76.86302146,38.92874605,4326,Maryland,24,33,24033,TPB Modeled Region
1119,-76.86716297,38.93718580,-76.86716297,38.93718580,4326,Maryland,24,33,24033,TPB Modeled Region
1120,-76.86254622,38.94242536,-76.86254622,38.94242536,4326,Maryland,24,33,24033,TPB Modeled Region
1121,-76.84781719,38.93399336,-76.84781719,38.93399336,4326,Maryland,24,33,24033,TPB Modeled Region
1122,-76.85246414,38.94386668,-76.85246414,38.94386668,4326,Maryland,24,33,24033,TPB Modeled Region
1123,-76.84409019,38.94034942,-76.84409019,38.94034942,4326,Maryland,24,33,24033,TPB Modeled Region
1124,-76.84233806,38.95503134,-76.84233806,38.95503134,4326,Maryland,24,33,24033,TPB Modeled Region
1125,-76.85494843,38.95784538,-76.85494843,38.95784538,4326,Maryland,24,33,24033,TPB Modeled Region
1126,-76.86626754,38.94869293,-76.86626754,38.94869293,4326,Maryland,24,33,24033,TPB Modeled Region
1127,-76.87055517,38.95420995,-76.87055517,38.95420995,4326,Maryland,24,33,24033,TPB Modeled Region
1128,-76.87523133,38.96176803,-76.87523133,38.96176803,4326,Maryland,24,33,24033,TPB Modeled Region
1129,-76.86238502,38.97142756,-76.86238502,38.97142756,4326,Maryland,24,33,24033,TPB Modeled Region
1130,-76.87375072,38.96957942,-76.87375072,38.96957942,4326,Maryland,24,33,24033,TPB Modeled Region
1131,-76.84878655,38.97474980,-76.84878655,38.97474980,4326,Maryland,24,33,24033,TPB Modeled Region
1132,-76.83967737,38.98004897,-76.83967737,38.98004897,4326,Maryland,24,33,24033,TPB Modeled Region
1133,-76.83180847,38.97048851,-76.83180847,38.97048851,4326,Maryland,24,33,24033,TPB Modeled Region
1134,-76.84804674,38.96727907,-76.84804674,38.96727907,4326,Maryland,24,33,24033,TPB Modeled Region
1135,-76.82867352,38.95058420,-76.82867352,38.95058420,4326,Maryland,24,33,24033,TPB Modeled Region
1136,-76.80861448,38.96429925,-76.80861448,38.96429925,4326,Maryland,24,33,24033,TPB Modeled Region
1137,-76.81581691,38.97499232,-76.81581691,38.97499232,4326,Maryland,24,33,24033,TPB Modeled Region
1138,-76.79393905,38.97219728,-76.79393905,38.97219728,4326,Maryland,24,33,24033,TPB Modeled Region
1139,-76.78447668,38.95417798,-76.78447668,38.95417798,4326,Maryland,24,33,24033,TPB Modeled Region
1140,-76.80808391,38.95193304,-76.80808391,38.95193304,4326,Maryland,24,33,24033,TPB Modeled Region
1141,-76.81281908,38.93499541,-76.81281908,38.93499541,4326,Maryland,24,33,24033,TPB Modeled Region
1142,-76.79090536,38.93330027,-76.79090536,38.93330027,4326,Maryland,24,33,24033,TPB Modeled Region
1143,-76.76972908,38.93328918,-76.76972908,38.93328918,4326,Maryland,24,33,24033,TPB Modeled Region
1144,-76.75932401,38.94266436,-76.75932401,38.94266436,4326,Maryland,24,33,24033,TPB Modeled Region
1145,-76.75350277,38.93201741,-76.75350277,38.93201741,4326,Maryland,24,33,24033,TPB Modeled Region
1146,-76.74541082,38.94567237,-76.74541082,38.94567237,4326,Maryland,24,33,24033,TPB Modeled Region
1147,-76.75994176,38.95636198,-76.75994176,38.95636198,4326,Maryland,24,33,24033,TPB Modeled Region
1148,-76.77727741,38.96756851,-76.77727741,38.96756851,4326,Maryland,24,33,24033,TPB Modeled Region
1149,-76.77777640,38.98014015,-76.77777640,38.98014015,4326,Maryland,24,33,24033,TPB Modeled Region
1150,-76.76364812,38.97484873,-76.76364812,38.97484873,4326,Maryland,24,33,24033,TPB Modeled Region
