requested_station_id,report_station_id,location,start_date,end_date,day_of_week,duration,report_type_id,count_id,source,report_record_id,report_source,report_values,report_options,itms_station_url
B160090,S1999160264,US 1 at MD 430/Metzerott Rd,2017-10-19,2017-10-19,Thursday,24 Hr,17,1430556,SHA,1192997,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160090
B160101,B160101,KIPLING PKWY-.10 MI W OF RITCHIE RD,2017-11-01,2017-11-02,Wednesday,48 Hr,7,1432723,SHA,1193276,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160101
B160107,B160107,MARBURY DR-.20 MI S OF KIPLING PKWY,2017-11-01,2017-11-02,Wednesday,48 Hr,7,1432727,SHA,1193306,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160107
B160109,B160109,CRITTENDEN ST-.10 MI W OF US1,2017-11-07,2017-11-08,Tuesday,48 Hr,7,1434444,SHA,1193354,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160109
B160108,B160108,CRITTENDEN ST-.10 MI W OF US1AL,2017-11-28,2017-11-29,Tuesday,48 Hr,7,1434443,SHA,1193353,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160108
B160114,S1999160084,MD 198 at Van Dusen Rd,2019-03-05,2019-03-05,Tuesday,24 Hr,17,1487558,SHA,1230118,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160114
B160116,B160116,MD197-.10 MI N OF MD450,2017-11-14,2017-11-15,Tuesday,48 Hr,8,1434050,SHA,1193281,Summary,VolumeDetail.rpt,"[{""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160116
B160111,B160111,US1-.20 MI S OF MD198 (ONE WAY COUPLET NB - SB SEE B160112),2019-04-30,2019-05-01,Tuesday,48 Hr,7,1492678,SHA,1232899,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160111
B160112,B160112,US1-.20 MI S OF MD198 (ONE WAY COUPLET SB - NB SEE B160111),2019-04-30,2019-05-01,Tuesday,48 Hr,7,1492677,SHA,1232898,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160112
B160113,S1999160084,MD 198 at Van Dusen Rd,2019-03-05,2019-03-05,Tuesday,24 Hr,17,1487558,SHA,1230118,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160113
B160129,B160129,MD 212-.10 MI N OF POWDER MILL RD/OLD GUNPOWDER RD,2017-11-08,2017-11-09,Wednesday,48 Hr,7,1433906,SHA,1193288,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160129
B160118,S2000160367,MD 450 at Millstream Dr/Stonybrook Dr,2018-09-11,2018-09-11,Tuesday,24 Hr,17,1461468,SHA,1217314,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160118
