state_code,station_id,direction,latitude,longitude,route,location_text,source_file
24,0P0056,1,38751401,76992613,3,MD 210 - .31 Mile South of Old Fort Rd (ATR#56)   ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0057,3,39347361,76461539,2,US 40 - .46 Mile East of MD 700 (ATR#57)          ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0064,1,39470724,76316047,3,MD 24 - .46 Mile North of MD 924 (ATR#64)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0065,5,38359536,76453029,3,MD 2 - .66 Mile North of Dowell Rd (ATR#65)       ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0067,3,39404254,77362706,1,IS 70 - .18 Mile East of Monocacy River Bridge (AT,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0075,1,39212845,76652787,1,IS 695 - .26 Mile West of MD 170 (ATR#75)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0076,1,39385355,76662409,1,IS 83 - .04 Mile North of Old Pimlico Rd (ATR#76) ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0080,1,38606685,76874602,3,MD 5 - .10 Mile South of Renner Rd (ATR#80)       ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0083,7,38396505,75306840,3,MD 610 - .30 Mile North of MD 346 (ATR#83)        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0086,5,38349416,76931677,3,MD 257 - .40 Mile South of Morgantown Rd (ATR#86) ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0001,1,39579464,78967230,3,MD 36 - 100ft South of George's Creek Bridge (ATR#,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0004,5,39205029,77271186,1,IS 270 - 2.0 Miles South of MD 121 (ATR#04)       ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0008,5,38929207,75964182,3,MD 309 - .50 Mile North of MD 404 (ATR#08)        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0021,1,39471720,77528251,1,2.79 Miles East of MD 17                          ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
