o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_minutes,reported_travel_time,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,year,vehicle,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_week,tdate_dow,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status,weight
2,24510170200,1,24005408601,961,54,4,1,0,1,2,-1,-1,-1,13.157,2015.0,"(Subaru, Impreza, 1.0, 1.0)",1.0,24005408601,1,1,2,0,2,1,0,2,1,0,5,117,3,65,1,1,2,1,2,1,0,1,24510170200,0,1,253.46503862502
1,24031703214,16,24031701308,1000,25,4,1,0,1,2,-1,-1,-1,3.2511800714,2004.0,"(Toyota, Sienna, 2.0, 1.0)",2.0,24031703214,1,1,6,4,2,3,0,1,0,0,7,52,3,51,1,4,2,1,2,2,2,0,-1,0,2,2554.0
2,24031700822,1,24027606904,1059,36,4,1,0,1,2,-1,-1,-1,26.225,2008.0,"(Toyota, Tacoma, 4.0, 1.0)",1.0,24027606904,2,1,3,0,2,2,0,2,2,2,8,97,4,40,2,1,2,1,2,1,0,1,-1,0,1,107.135471817096
16,51013102801,8,51059452802,485,5,4,1,0,1,4,-1,-1,-1,0.3700709492,2017.0,"(Ford, Escape, 3.0, 1.0)",1.0,51013102302,1,1,3,1,2,2,0,2,2,2,8,70,4,52,1,4,2,1,2,1,0,1,51510201900,0,2,54.0
1,54037972201,10,54037972401,630,30,4,2,0,2,3,-1,-1,-1,15.003027269,2016.0,"(Ford, Taurus, 1.0, 1.0)",1.0,54037972201,1,1,2,0,1,0,1,1,1,0,7,43,4,69,1,4,2,1,2,1,1,0,-1,0,2,103.0
1,51600300300,2,11001005800,495,60,4,1,0,1,2,1,-1,-1,18.503389132,2017.0,"(Chevrolet, Malibu, 1.0, 1.0)",1.0,51600300300,2,1,2,0,2,1,0,2,2,0,8,65,3,61,2,4,2,1,2,1,0,1,11001005800,0,1,81.0
16,51059431300,1,51059432600,670,5,4,2,0,2,-1,-1,-1,-1,0.7745635031,2009.0,"(Lexus, GS 350, 1.0, 1.0)",1.0,51059432600,1,1,2,0,2,0,0,2,2,4,7,53,2,67,2,4,2,1,2,1,1,0,-1,0,2,184.0
5,24027606706,1,24027606606,1170,5,4,1,0,1,1,-1,-1,-1,0.965,2009.0,"(Honda, Fit, 1.0, 1.0)",2.0,24027606606,2,1,3,1,1,1,0,2,0,0,7,90,2,44,2,3,2,1,2,1,0,1,24027606905,0,1,74.5605292245162
5,24027606706,1,24027606901,1131,17,5,2,0,2,-1,-1,-1,-1,4.516,2013.0,"(Chevrolet, Avalanche, 3.0, 1.0)",1.0,24027606901,2,1,2,0,2,2,0,2,1,0,8,96,3,71,1,1,2,1,2,1,0,1,24031700829,0,1,48.4638805828061
1,51510200301,2,51059482202,390,40,4,1,0,1,2,0,-1,1,19.359963565,2011.0,"(Buick, Enclave, 3.0, 1.0)",1.0,51510200301,3,2,3,1,2,2,0,2,1,0,8,49,4,53,1,4,2,1,2,1,0,1,51059482202,0,1,278.0
