o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_hhmm,arrival_time_hhmm,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_string,tdate_dow,wthhfin,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status
16,24005451200,1,24005492101,16:07,16:25,4,2,0,2,3,,,,6.437,18,2013.0,1.0,Ford,Focus,1.0,1.0,24005492101,1,1,4,0,3,3,2,3,3,1,6,2018-12-05,3,189.612081236246,40,1,1,2,1,2,1,0,1,24005440701,0,
5,24033801211,11,24033801207,07:40,07:55,4,1,0,1,2,,,,2.7220772124,15,2011.0,1.0,Toyota,Corolla,1.0,2.0,24033801216,1,1,1,0,1,0,0,1,0,0,7,2018-05-11,5,113.0,77,1,4,2,1,2,1,1,,,0,1
1,51153901232,18,51153901219,09:10,09:35,4,1,0,1,1,,,,4.6761049754,25,2009.0,1.0,Honda,Accord,1.0,2.0,51153901232,1,1,1,0,1,0,1,1,0,0,6,2018-04-04,3,94.0,91,2,4,2,1,1,2,1,,,0,1
18,11001001901,9,24031704503,06:55,07:25,4,1,0,1,2,0,,,7.0220888279,30,2014.0,1.0,Nissan,Altima,1.0,2.0,24033803803,2,1,1,0,1,1,0,1,0,0,4,2018-10-22,1,124.0,54,1,2,2,1,2,1,0,1,11001010100,0,1
1,24027602600,5,24027602600,18:36,18:55,5,2,0,2,,,,,0.657,19,2018.0,3.0,Toyota,RAV4,1.0,2.0,24027602600,3,2,3,2,0,1,0,1,0,0,4,2018-08-24,5,164.144347949138,33,1,3,2,2,2,1,3,,,0,1
1,51107611206,5,51107611501,15:20,15:25,4,1,0,1,2,,,,1.7639038794,5,2004.0,1.0,Cadillac,CTS,1.0,1.0,51107611206,1,1,2,0,2,0,0,2,2,0,8,2018-08-27,1,122.0,71,1,4,2,1,2,1,1,,,0,1
2,51059490101,5,51059490103,14:00,14:10,4,1,0,1,2,,,,1.0000448849,10,1997.0,1.0,Honda,Civic,1.0,1.0,51059482504,1,1,4,2,3,2,0,2,2,3,8,2017-11-29,3,388.0,61,2,3,2,1,2,1,0,1,51059490101,0,1
16,24019970702,5,24041960501,13:52,14:30,4,1,1,2,2,,,,19.217,38,2012.0,3.0,Lexus,GS-300/350/400/430/ 450h/460,1.0,2.0,24019970702,1,1,2,0,2,1,0,3,1,2,8,2018-11-30,5,114.3198973411,77,1,1,2,1,2,1,1,,,0,1
1,24031700706,18,24031700826,15:30,15:35,4,2,0,2,2,,,,2.5542460373,5,2017.0,3.0,Ford,Escape,1.0,1.0,24031700706,2,1,2,0,2,0,0,1,1,0,5,2018-08-31,5,56.0,76,2,4,2,1,2,1,1,,,0,1
9,24021751002,1,24021752302,08:35,08:45,4,1,0,1,1,,,,6.9635817681,10,2005.0,1.0,Mazda,Mazda3,1.0,2.0,24021752302,1,1,2,0,2,2,0,2,0,0,6,2018-02-27,2,134.0,31,2,4,2,1,2,1,0,1,24033807404,0,1
5,24005452400,6,24005451300,11:04,11:14,4,2,0,2,2,,,,6.242,11,2006.0,1.0,Chevrolet,Impala,1.0,2.0,24005451402,2,2,3,0,2,1,1,1,0,0,2,2018-07-09,1,175.423371742973,42,1,2,2,1,1,1,0,1,24005411309,0,
1,24033801808,16,24033801802,18:30,18:35,4,1,2,3,4,,,,1.4489634779,5,2016.0,3.0,Jeep,Compass,1.0,2.0,24033801808,1,1,4,1,3,1,0,2,0,0,7,2018-04-26,4,153.0,49,1,2,2,1,2,1,0,1,24033801802,0,1
16,51107611022,1,51107611022,16:00,16:05,4,3,0,3,1,,,,0.792524608,5,2002.0,1.0,BMW,3 series,1.0,2.0,51107611022,1,1,4,2,2,2,1,2,1,0,8,2018-10-19,5,202.0,39,1,4,2,1,2,1,0,1,51107611023,0,1
2,24031702500,1,24031701312,17:30,18:15,4,1,0,1,1,,,,14.660921769,45,2013.0,3.0,Chevrolet,Equinox,1.0,1.0,24031701312,1,1,2,1,2,1,0,2,2,1,8,2017-10-19,4,63.0,57,1,4,2,1,2,1,0,1,24031702500,0,1
1,24031704804,13,24031705502,09:00,09:15,4,1,0,1,2,,,,0.7131113425,15,2012.0,1.0,Audi,A4,1.0,1.0,24031704804,3,1,1,0,1,1,0,1,1,0,8,2018-03-29,4,91.0,53,1,3,2,1,2,1,0,1,11001010700,0,1
9,51059480802,1,51107610601,15:00,15:50,4,1,0,1,1,,,1,19.011341438,50,2009.0,1.0,Honda,Accord,1.0,1.0,51107610601,1,1,3,1,3,3,0,5,2,3,8,2018-03-22,4,184.0,54,2,4,2,1,2,2,0,1,51059490103,0,1
1,24025303603,2,24025306500,08:00,08:30,4,1,0,1,2,,,,13.484,30,2012.0,1.0,Toyota,Camry,1.0,2.0,24025303603,1,1,4,2,2,2,0,2,0,2,,2019-03-01,5,343.627832863553,38,1,1,2,1,2,1,0,1,24025306500,0,
5,24021772200,5,24021751003,16:54,17:00,4,1,0,1,2,,,,1.571,6,2010.0,1.0,Subaru,Forester,1.0,2.0,24043011500,1,1,2,0,2,0,0,2,0,1,7,2019-05-09,4,149.4577680479,69,1,1,2,1,2,1,3,,,0,1
1,24025303803,1,24025303602,10:25,10:40,5,3,0,3,,,,,2.387,15,2004.0,3.0,Mitsubishi,Endeavor,1.0,2.0,24025303602,1,1,4,2,2,2,0,2,1,4,7,2018-08-27,1,343.627832863553,10,1,1,2,,2,,,,,1,
9,24021765100,1,24043000200,13:00,13:30,4,1,0,1,1,,,,28.324,30,2012.0,1.0,Hyundai,Sonata,1.0,2.0,24043000200,2,1,4,1,2,2,0,3,1,1,5,2019-03-04,1,193.235425537043,27,1,4,2,1,2,1,0,1,,0,
1,24003706600,2,24003730901,06:45,06:55,4,1,0,1,2,,,1,2.346,10,2002.0,1.0,Mitsubishi,Lancer,1.0,2.0,24003706600,1,1,1,0,1,1,,1,0,0,,2018-02-01,4,251.526233137889,80,1,1,2,1,2,2,0,1,24003730901,0,2
11,24033801313,1,24017850712,02:25,02:40,4,1,0,1,1,,,,8.1564812581,15,2005.0,1.0,Cadillac,CTS,1.0,2.0,24017850712,1,1,5,4,2,2,0,2,0,2,7,2017-12-01,5,349.0,45,2,2,2,1,2,1,0,1,24033801901,1,2
2,11001002802,5,24033805000,16:15,16:30,4,1,0,1,2,,,,3.9244099745,15,2002.0,1.0,Cadillac,Deville,1.0,1.0,24033805909,3,2,2,0,1,2,0,1,1,3,6,2018-07-23,1,77.0,48,1,1,1,1,2,1,0,1,11001002802,0,2
5,24025301702,13,24025301205,08:45,09:00,4,1,0,1,2,0,,,4.965,15,2005.0,1.0,Subaru,Forester,1.0,2.0,24025301602,3,2,4,2,3,3,2,3,1,1,3,2019-03-18,1,92.9247726268209,42,1,2,2,1,1,1,0,1,24025301301,0,
