column,value,count,percentage
o_tpb_taz,2060,61,0.054558%
o_tpb_taz,1873,61,0.054558%
o_tpb_taz,2070,61,0.054558%
o_tpb_taz,3275,60,0.053663%
o_tpb_taz,1868,60,0.053663%
o_tpb_taz,3479,60,0.053663%
o_tpb_taz,2678,60,0.053663%
o_tpb_taz,755,60,0.053663%
o_tpb_taz,1413,60,0.053663%
o_tpb_taz,1696,60,0.053663%
o_tpb_taz,3307,60,0.053663%
o_tpb_taz,3575,60,0.053663%
o_tpb_taz,1486,60,0.053663%
o_tpb_taz,2399,60,0.053663%
o_tpb_taz,2303,60,0.053663%
o_tpb_taz,3004,59,0.052769%
o_tpb_taz,585,59,0.052769%
o_tpb_taz,282,59,0.052769%
o_tpb_taz,218,59,0.052769%
o_tpb_taz,972,59,0.052769%
o_tpb_taz,51,59,0.052769%
o_tpb_taz,2879,59,0.052769%
o_tpb_taz,2052,59,0.052769%
o_tpb_taz,1746,59,0.052769%
o_tpb_taz,1571,59,0.052769%
o_tpb_taz,677,59,0.052769%
o_tpb_taz,2134,59,0.052769%
o_tpb_taz,2406,59,0.052769%
o_tpb_taz,2308,59,0.052769%
o_tpb_taz,3047,58,0.051875%
o_tpb_taz,298,58,0.051875%
o_tpb_taz,3189,58,0.051875%
o_tpb_taz,95,58,0.051875%
o_tpb_taz,2394,58,0.051875%
o_tpb_taz,3420,58,0.051875%
o_tpb_taz,3439,58,0.051875%
o_tpb_taz,642,58,0.051875%
o_tpb_taz,522,58,0.051875%
o_tpb_taz,2345,58,0.051875%
o_tpb_taz,2297,58,0.051875%
o_tpb_taz,1878,58,0.051875%
o_tpb_taz,3187,58,0.051875%
o_tpb_taz,3074,57,0.050980%
o_tpb_taz,389,57,0.050980%
o_tpb_taz,3255,57,0.050980%
o_tpb_taz,3303,57,0.050980%
o_tpb_taz,616,57,0.050980%
o_tpb_taz,1639,57,0.050980%
o_tpb_taz,1551,57,0.050980%
o_tpb_taz,58,57,0.050980%
o_tpb_taz,266,57,0.050980%
o_tpb_taz,1796,57,0.050980%
o_tpb_taz,3312,57,0.050980%
o_tpb_taz,428,57,0.050980%
o_tpb_taz,1863,57,0.050980%
o_tpb_taz,156,57,0.050980%
o_tpb_taz,3111,56,0.050086%
o_tpb_taz,467,56,0.050086%
o_tpb_taz,3196,56,0.050086%
o_tpb_taz,699,56,0.050086%
o_tpb_taz,390,56,0.050086%
o_tpb_taz,1618,56,0.050086%
o_tpb_taz,2262,56,0.050086%
o_tpb_taz,54,56,0.050086%
o_tpb_taz,1091,56,0.050086%
o_tpb_taz,1507,56,0.050086%
o_tpb_taz,564,56,0.050086%
o_tpb_taz,1656,56,0.050086%
o_tpb_taz,3566,56,0.050086%
o_tpb_taz,3579,56,0.050086%
o_tpb_taz,14,55,0.049191%
o_tpb_taz,3030,55,0.049191%
o_tpb_taz,982,55,0.049191%
o_tpb_taz,70,55,0.049191%
o_tpb_taz,81,55,0.049191%
o_tpb_taz,665,55,0.049191%
o_tpb_taz,716,55,0.049191%
o_tpb_taz,2135,55,0.049191%
o_tpb_taz,1553,55,0.049191%
o_tpb_taz,1564,55,0.049191%
o_tpb_taz,290,55,0.049191%
o_tpb_taz,3073,54,0.048297%
o_tpb_taz,2968,54,0.048297%
o_tpb_taz,543,54,0.048297%
o_tpb_taz,576,54,0.048297%
o_tpb_taz,707,54,0.048297%
o_tpb_taz,273,54,0.048297%
o_tpb_taz,602,54,0.048297%
o_tpb_taz,352,54,0.048297%
o_tpb_taz,485,54,0.048297%
o_tpb_taz,679,54,0.048297%
o_tpb_taz,124,54,0.048297%
o_tpb_taz,1515,54,0.048297%
o_tpb_taz,3568,54,0.048297%
o_tpb_taz,1667,54,0.048297%
o_tpb_taz,497,53,0.047403%
o_tpb_taz,2988,53,0.047403%
o_tpb_taz,3028,53,0.047403%
o_tpb_taz,380,53,0.047403%
o_tpb_taz,2338,53,0.047403%
o_tpb_taz,275,53,0.047403%
o_tpb_taz,680,53,0.047403%
o_tpb_taz,2128,53,0.047403%
o_tpb_taz,2327,53,0.047403%
o_tpb_taz,2938,53,0.047403%
o_tpb_taz,1968,53,0.047403%
o_tpb_taz,628,53,0.047403%
o_tpb_taz,1456,53,0.047403%
o_tpb_taz,3341,53,0.047403%
o_tpb_taz,3176,53,0.047403%
o_tpb_taz,1851,53,0.047403%
o_tpb_taz,2344,53,0.047403%
o_tpb_taz,3313,52,0.046508%
o_tpb_taz,3059,52,0.046508%
o_tpb_taz,2951,52,0.046508%
o_tpb_taz,883,52,0.046508%
o_tpb_taz,693,52,0.046508%
o_tpb_taz,620,52,0.046508%
o_tpb_taz,1779,52,0.046508%
o_tpb_taz,1960,52,0.046508%
o_tpb_taz,1670,52,0.046508%
o_tpb_taz,46,52,0.046508%
o_tpb_taz,97,52,0.046508%
o_tpb_taz,2537,52,0.046508%
o_tpb_taz,2559,52,0.046508%
o_tpb_taz,606,52,0.046508%
o_tpb_taz,1582,52,0.046508%
o_tpb_taz,1205,52,0.046508%
o_tpb_taz,2315,52,0.046508%
o_tpb_taz,1865,51,0.045614%
o_tpb_taz,781,51,0.045614%
o_tpb_taz,2032,51,0.045614%
o_tpb_taz,3443,51,0.045614%
o_tpb_taz,68,51,0.045614%
o_tpb_taz,565,51,0.045614%
o_tpb_taz,245,51,0.045614%
o_tpb_taz,1912,51,0.045614%
o_tpb_taz,1724,51,0.045614%
o_tpb_taz,2734,51,0.045614%
o_tpb_taz,903,51,0.045614%
o_tpb_taz,1533,51,0.045614%
o_tpb_taz,2413,51,0.045614%
o_tpb_taz,3379,50,0.044720%
o_tpb_taz,79,50,0.044720%
o_tpb_taz,1747,50,0.044720%
o_tpb_taz,417,50,0.044720%
o_tpb_taz,277,50,0.044720%
o_tpb_taz,3666,50,0.044720%
o_tpb_taz,280,50,0.044720%
o_tpb_taz,2045,50,0.044720%
o_tpb_taz,3380,50,0.044720%
o_tpb_taz,816,50,0.044720%
o_tpb_taz,1535,50,0.044720%
o_tpb_taz,74,50,0.044720%
o_tpb_taz,2807,50,0.044720%
o_tpb_taz,197,50,0.044720%
o_tpb_taz,2393,50,0.044720%
o_tpb_taz,3049,49,0.043825%
o_tpb_taz,1135,49,0.043825%
o_tpb_taz,995,49,0.043825%
o_tpb_taz,3069,49,0.043825%
o_tpb_taz,915,49,0.043825%
o_tpb_taz,1151,49,0.043825%
o_tpb_taz,626,49,0.043825%
o_tpb_taz,1939,49,0.043825%
o_tpb_taz,1635,49,0.043825%
o_tpb_taz,2789,49,0.043825%
o_tpb_taz,1589,49,0.043825%
o_tpb_taz,532,49,0.043825%
o_tpb_taz,3340,49,0.043825%
o_tpb_taz,1805,49,0.043825%
o_tpb_taz,743,49,0.043825%
o_tpb_taz,3133,49,0.043825%
o_tpb_taz,697,49,0.043825%
o_tpb_taz,734,48,0.042931%
o_tpb_taz,3065,48,0.042931%
o_tpb_taz,3253,48,0.042931%
o_tpb_taz,1604,48,0.042931%
o_tpb_taz,700,48,0.042931%
o_tpb_taz,724,48,0.042931%
o_tpb_taz,573,48,0.042931%
