segment_id,segment_group,direction,route,route_type,description,observed_speed_mph,travel_time_min,speed_time_min,length_miles,status,congestion,imputation,source_link_id,start_lon,start_lat,end_lon,end_lat,start_milepost,end_milepost,fetched_at_utc,source_response_url,source_metadata_url
VA_I-495_34.2-43.2,segment,N,I-495,I,from I-495 MM 34.2 to GW Mem Pkwy Exit43 (MM 43.2),60.00000000,9.00000000,8.00000000,9.00000000,open,1,0.0,425198411,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-66_74.86-65.57,segment,W,I-66,I,from I-66 Jct US-50 at the Theodore Roosevelt Memorial Bridge (MM 74.86) to Junction Interstate 495 Exit 64-Merrifield (MM 65.57),51.27000000,10.80000000,10.80000000,9.20000000,open,1,0.0,425198499,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-66_47.28-40.64,segment,W,I-66,I,from I-66 Junction Virginia 234 South Exit 47-Manassas (MM 47.28) to boundary of HAYMARKET (MM 40.64),48.67000000,8.10000000,8.10000000,6.60000000,open,1,0.0,425198512,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-495_0-25,segment,N,I-495,I,from I-495 MM 0 to MM 25,56.22000000,26.70000000,25.70000000,25.00000000,open,1,0.0,425198648,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-495_50.2-44.6,segment,S,I-495,I,from I-495 Junction US 50-Exit 50A (MM 50.2) to MM 44.6,56.00000000,6.00000000,6.00000000,5.60000000,open,1,0.0,425198658,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_159.9-170,segment,N,I-95,I,"from I-95 MM 159.9 to junction I-395N,Fairfax County (MM 170)",60.00000000,10.00000000,10.00000000,10.00000000,open,1,0.0,425198678,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-395_2.9-0,segment,S,I-395,I,from I-395 MM 2.9 to Jct I-95 (MM 0),55.29000000,3.10000000,2.20000000,2.90000000,open,2,0.0,425198701,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_170-160,segment,S,I-95,I,from I-95 Junction Interstate 395 Exit 169-Springfield (MM 170) to MM 160,55.29000000,10.90000000,9.80000000,10.00000000,open,1,0.0,425198704,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-66_52.9-64.7,segment,E,I-66,I,from I-66 VA-28 Exit53 (MM 52.9) to Jct I-495 (MM 64.7),59.54000000,11.90000000,0.00000000,11.80000000,open,0,0.0,425198728,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-66_58-64.7,segment,E,I-66,I,from I-66 US-50W Exit57B (MM 58) to Jct I-495 (MM 64.7),59.14000000,6.80000000,6.80000000,6.70000000,open,1,0.0,425198772,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-66_58.2-43.2,segment,W,I-66,I,from I-66 Junction US 50 West Exit 57B-Fairfax (MM 58.2) to Junction US 29 South Exit 43A-Gainesville (MM 43.2),61.20000000,14.70000000,14.70000000,15.00000000,open,1,0.0,425198813,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-66_42.1-53.1,segment,E,I-66,I,from I-66 MM 42.1 to VA-28 Exit53 (MM 53.1),66.00000000,10.00000000,0.00000000,11.00000000,open,0,0.0,425198823,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-395_9.3-0,segment,S,I-395,I,from I-395 District of Columbia at the DC Line (MM 9.3) to Jct I-95 (MM 0),50.73000000,11.00000000,9.00000000,9.30000000,open,1,0.0,425198834,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-66_62.8-74.77,segment,E,I-66,I,from I-66 boundary of VIENNA (MM 62.8) to Jct US-50 at the Theodore Roosevelt Memorial Bridge (MM 74.77),51.00000000,14.00000000,14.00000000,11.90000000,open,1,0.0,425198844,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_145.42-130.65,segment,S,I-95,I,from I-95 MM 145.42 to Jct VA-3 Plank Road Fredericksburg (MM 130.65),58.80000000,15.00000000,14.00000000,14.70000000,open,1,0.0,425198866,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
