scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,88611,1746,1750,13,5,1140,4,1,124.00000000,124.00000000,5.67481724
real,88612,1750,2279,5,16,1155,4,1,124.00000000,124.00000000,5.67481724
real,88613,2279,2195,16,1,1185,4,3,124.00000000,41.33333333,1.89160575
real,88614,2195,1688,1,2,405,4,1,124.00000000,124.00000000,5.67481724
real,88615,1688,2199,2,16,940,4,1,124.00000000,124.00000000,5.67481724
real,88616,2199,2195,16,1,985,4,3,124.00000000,41.33333333,1.89160575
real,88617,2195,2279,1,6,1020,4,3,124.00000000,41.33333333,1.89160575
real,88618,2279,2279,6,16,1045,4,3,124.00000000,41.33333333,1.89160575
real,88619,2279,2423,16,7,1080,4,1,124.00000000,124.00000000,5.67481724
real,88620,2423,2286,7,11,1230,4,1,124.00000000,124.00000000,5.67481724
real,88621,2286,2195,11,1,1370,4,1,124.00000000,124.00000000,5.67481724
real,88636,2732,2754,1,16,290,4,2,53.00000000,26.50000000,1.21276336
real,88637,2754,2004,16,2,300,4,1,53.00000000,53.00000000,2.42552672
real,88638,2004,2754,2,16,960,4,1,53.00000000,53.00000000,2.42552672
real,88639,2754,2732,16,1,1010,4,2,53.00000000,26.50000000,1.21276336
real,88657,3535,1579,1,2,350,4,1,200.00000000,200.00000000,9.15293103
real,88658,1579,3511,2,10,720,4,2,200.00000000,100.00000000,4.57646551
real,88659,3511,3511,10,7,860,4,1,200.00000000,200.00000000,9.15293103
real,88660,3511,3535,7,1,910,4,1,200.00000000,200.00000000,9.15293103
real,88662,3511,3511,10,7,860,4,1,200.00000000,200.00000000,9.15293103
real,88663,3511,3535,7,1,910,4,1,200.00000000,200.00000000,9.15293103
real,88676,2345,2326,18,18,1085,4,1,90.00000000,90.00000000,4.11881896
real,88677,2326,2345,18,18,1220,4,1,90.00000000,90.00000000,4.11881896
real,88678,2345,2302,18,18,1235,4,1,90.00000000,90.00000000,4.11881896
real,88679,2302,2351,18,18,1285,4,1,90.00000000,90.00000000,4.11881896
real,88680,2351,2345,18,1,1310,4,1,90.00000000,90.00000000,4.11881896
real,88681,2177,1472,1,2,365,4,1,136.00000000,136.00000000,6.22399310
real,88682,1472,2177,2,1,1045,4,1,136.00000000,136.00000000,6.22399310
real,88683,2177,2177,1,10,605,4,1,136.00000000,136.00000000,6.22399310
real,88686,2177,2223,10,5,740,4,1,136.00000000,136.00000000,6.22399310
real,88687,2223,2177,5,1,790,4,1,136.00000000,136.00000000,6.22399310
real,88691,3647,2631,1,9,620,4,2,122.00000000,61.00000000,2.79164396
real,88692,2631,2449,9,7,795,4,2,122.00000000,61.00000000,2.79164396
real,88693,2449,3647,7,1,825,4,2,122.00000000,61.00000000,2.79164396
real,88694,3647,3653,1,5,990,4,1,122.00000000,122.00000000,5.58328793
real,88695,3653,3646,5,5,1020,4,1,122.00000000,122.00000000,5.58328793
real,88696,3646,3646,5,5,1025,4,1,122.00000000,122.00000000,5.58328793
real,88697,3646,3647,5,1,1045,4,1,122.00000000,122.00000000,5.58328793
real,88716,3490,3493,1,13,640,4,1,203.00000000,203.00000000,9.29022499
real,88717,3493,3475,13,8,730,4,1,203.00000000,203.00000000,9.29022499
real,88718,3475,3490,8,1,740,4,1,203.00000000,203.00000000,9.29022499
real,88719,3490,3479,1,5,975,4,1,203.00000000,203.00000000,9.29022499
real,88720,3479,3493,5,13,985,4,1,203.00000000,203.00000000,9.29022499
real,88721,3493,3490,13,11,1085,4,1,203.00000000,203.00000000,9.29022499
real,88722,3490,3490,11,1,1190,4,1,203.00000000,203.00000000,9.29022499
real,88760,2341,1739,1,2,375,4,1,122.00000000,122.00000000,5.58328793
real,88761,1739,2340,2,16,1065,4,1,122.00000000,122.00000000,5.58328793
real,88762,2340,2341,16,1,1100,4,3,122.00000000,40.66666667,1.86109598
real,88763,2341,2310,1,16,460,4,3,122.00000000,40.66666667,1.86109598
real,88764,2310,1868,16,2,465,4,1,122.00000000,122.00000000,5.58328793
real,88765,1868,2340,2,16,1035,4,3,122.00000000,40.66666667,1.86109598
real,88766,2340,2341,16,1,1100,4,3,122.00000000,40.66666667,1.86109598
real,88767,2534,1556,1,2,330,4,1,93.00000000,93.00000000,4.25611293
real,88768,1556,2539,2,5,900,4,1,93.00000000,93.00000000,4.25611293
real,88769,2539,2539,5,7,1025,4,1,93.00000000,93.00000000,4.25611293
real,88770,2539,2534,7,1,1035,4,1,93.00000000,93.00000000,4.25611293
real,88797,2631,2637,1,13,570,4,1,37.00000000,37.00000000,1.69329224
real,88798,2637,2631,13,1,645,4,1,37.00000000,37.00000000,1.69329224
real,88799,2631,2539,1,5,630,4,1,37.00000000,37.00000000,1.69329224
real,88800,2539,2537,5,5,750,4,1,37.00000000,37.00000000,1.69329224
real,88801,2537,2631,5,1,800,4,1,37.00000000,37.00000000,1.69329224
real,88806,2799,2721,8,2,485,4,1,80.00000000,80.00000000,3.66117241
real,88825,2000,1998,1,7,795,4,1,138.00000000,138.00000000,6.31552241
real,88826,1998,2000,7,1,855,4,1,138.00000000,138.00000000,6.31552241
real,88829,2068,2070,1,5,1175,4,2,275.00000000,137.50000000,6.29264008
real,88830,2070,2068,5,1,1200,4,2,275.00000000,137.50000000,6.29264008
real,88831,2068,2068,1,16,510,4,2,275.00000000,137.50000000,6.29264008
real,88832,2068,1596,16,2,520,4,1,275.00000000,275.00000000,12.58528017
real,88833,1596,2068,2,16,1015,4,1,275.00000000,275.00000000,12.58528017
real,88834,2068,2068,16,1,1055,4,3,275.00000000,91.66666667,4.19509339
real,88841,1508,1525,1,10,730,4,1,31.00000000,31.00000000,1.41870431
real,88842,1525,1480,10,5,770,4,1,31.00000000,31.00000000,1.41870431
real,88843,1480,1508,5,1,820,4,1,31.00000000,31.00000000,1.41870431
