screenline_id,method,absolute_error_delta_vs_direct
24005408100__24005408900,direct_survey,0.0
24005408100__24005410100,direct_survey,0.0
24005408200__24005408303,direct_survey,0.0
24005408200__24005408304,direct_survey,0.0
24005408200__24005408400,direct_survey,0.0
24005408302__24005408303,direct_survey,0.0
24005408302__24005408304,direct_survey,0.0
24005408302__24005408703,direct_survey,0.0
24005408302__24005408704,direct_survey,0.0
24005408303__24005408304,direct_survey,0.0
24005408304__24005408400,direct_survey,0.0
24005408304__24005408703,direct_survey,0.0
24005408400__24005408503,direct_survey,0.0
24005408400__24005408505,direct_survey,0.0
24005408400__24005408900,direct_survey,0.0
24005408502__24005408505,direct_survey,0.0
24005408502__24005408506,direct_survey,0.0
24005408502__24005408601,direct_survey,0.0
24005408502__24005408602,direct_survey,0.0
24005408502__24005408900,direct_survey,0.0
24005408502__24005490100,direct_survey,0.0
24005408503__24005408505,direct_survey,0.0
24005408503__24005408506,direct_survey,0.0
24005408503__24005408507,direct_survey,0.0
24005408503__24005408900,direct_survey,0.0
24005408505__24005408506,direct_survey,0.0
24005408505__24005408507,direct_survey,0.0
24005408505__24005408601,direct_survey,0.0
24005408505__24005408703,direct_survey,0.0
24005408505__24005408800,direct_survey,0.0
24005408506__24005408507,direct_survey,0.0
24005408506__24005408900,direct_survey,0.0
24005408601__24005408602,direct_survey,0.0
24005408601__24005408800,direct_survey,0.0
24005408602__24005408800,direct_survey,0.0
24005408602__24005490100,direct_survey,0.0
24005408602__24005490200,direct_survey,0.0
24005408702__24005408704,direct_survey,0.0
24005408702__24005408800,direct_survey,0.0
24005408702__24005490301,direct_survey,0.0
24005408702__24005490400,direct_survey,0.0
24005408702__24005490500,direct_survey,0.0
24005408703__24005408704,direct_survey,0.0
24005408704__24005408800,direct_survey,0.0
24005408704__24005490400,direct_survey,0.0
24005408800__24005490200,direct_survey,0.0
24005408900__24005410100,direct_survey,0.0
24005410100__24005410200,direct_survey,0.0
24005410100__24025304201,direct_survey,0.0
24005410200__24005411201,direct_survey,0.0
24005410200__24005411202,direct_survey,0.0
24005410200__24025304201,direct_survey,0.0
24005411101__24005411102,direct_survey,0.0
24005411101__24005411201,direct_survey,0.0
24005411101__24005411202,direct_survey,0.0
24005411101__24005411409,direct_survey,0.0
24005411101__24025303400,direct_survey,0.0
24005411102__24005411302,direct_survey,0.0
24005411102__24005411309,direct_survey,0.0
24005411102__24025301301,direct_survey,0.0
24005411102__24025301401,direct_survey,0.0
24005411102__24025303400,direct_survey,0.0
24005411201__24005411202,direct_survey,0.0
24005411201__24025303300,direct_survey,0.0
24005411201__24025304201,direct_survey,0.0
24005411202__24005490100,direct_survey,0.0
24005411202__24005492600,direct_survey,0.0
24005411302__24005411307,direct_survey,0.0
24005411302__24005411308,direct_survey,0.0
24005411302__24005411309,direct_survey,0.0
24005411302__24005440702,direct_survey,0.0
24005411302__24005451701,direct_survey,0.0
24005411302__24005451702,direct_survey,0.0
24005411303__24005411306,direct_survey,0.0
24005411303__24005411307,direct_survey,0.0
24005411303__24005411308,direct_survey,0.0
24005411303__24005411309,direct_survey,0.0
24005411303__24005411406,direct_survey,0.0
24005411303__24005411408,direct_survey,0.0
24005411306__24005411307,direct_survey,0.0
24005411306__24005411407,direct_survey,0.0
24005411306__24005411408,direct_survey,0.0
24005411306__24005440600,direct_survey,0.0
24005411307__24005411308,direct_survey,0.0
24005411307__24005440600,direct_survey,0.0
24005411308__24005411309,direct_survey,0.0
24005411309__24005411406,direct_survey,0.0
24005411404__24005411407,direct_survey,0.0
24005411404__24005411409,direct_survey,0.0
24005411404__24005411410,direct_survey,0.0
24005411404__24005492200,direct_survey,0.0
24005411406__24005411408,direct_survey,0.0
24005411406__24005411409,direct_survey,0.0
24005411406__24005411410,direct_survey,0.0
24005411407__24005411408,direct_survey,0.0
24005411407__24005440100,direct_survey,0.0
24005411407__24005440300,direct_survey,0.0
24005411407__24005491900,direct_survey,0.0
24005411408__24005411410,direct_survey,0.0
24005411409__24005411410,direct_survey,0.0
24005420100__24005420301,direct_survey,0.0
24005420100__24005420302,direct_survey,0.0
24005420100__24005420303,direct_survey,0.0
24005420100__24005420600,direct_survey,0.0
24005420100__24005420701,direct_survey,0.0
24005420100__24005452400,direct_survey,0.0
24005420200__24005420303,direct_survey,0.0
24005420200__24005420401,direct_survey,0.0
24005420200__24005420402,direct_survey,0.0
24005420200__24005420800,direct_survey,0.0
24005420200__24005421101,direct_survey,0.0
24005420200__24005421200,direct_survey,0.0
24005420301__24005420302,direct_survey,0.0
24005420301__24005452400,direct_survey,0.0
24005420301__24005452500,direct_survey,0.0
24005420302__24005420303,direct_survey,0.0
24005420303__24005420402,direct_survey,0.0
24005420303__24005420701,direct_survey,0.0
