scenario,activity_pair,vehicle_trips,share
real,7 -> 9,64.20781117,0.0003380420392166257
real,13 -> 11,63.33065527,0.000333423978520524
real,6 -> 9,60.88987367,0.00032057372285362586
real,7 -> 13,60.35595269,0.00031776272940016784
real,6 -> 6,59.43303215,0.00031290372648928405
real,12 -> 8,57.96093574,0.0003051534160007
real,18 -> 12,56.93123099,0.0002997322143254172
real,9 -> 11,56.38205514,0.00029684090685301324
real,13 -> 18,56.015937890000004,0.0002949133684503304
real,7 -> 3,55.215056440000005,0.0002906968783754396
real,12 -> 2,54.27688099,0.00028575756123501737
real,8 -> 9,53.819234460000004,0.0002833481384027702
real,10 -> 3,53.6132935,0.00028226389801506546
real,6 -> 18,53.56752885,0.0002820229557476352
real,5 -> 15,51.89711893,0.0002732285619597916
real,10 -> 11,51.81703078,0.0002728069129259785
real,7 -> 12,51.09623748,0.0002690120718849008
real,11 -> 6,51.02759048,0.0002686506583521351
real,18 -> 13,50.24196392,0.0002645144824014865
real,12 -> 18,50.13517971,0.00026395228363708753
real,6 -> 7,48.73935773,0.0002566035436644181
real,7 -> 14,48.65926958,0.00025618189463060497
real,12 -> 10,46.679948259999996,0.00024576114047179684
real,8 -> 11,46.42824266,0.00024443595786931006
real,3 -> 18,46.153654700000004,0.00024299030394883965
real,4 -> 8,45.9019491,0.00024166512134635282
real,11 -> 10,45.60447885,0.00024009899647643566
real,15 -> 7,44.68155831,0.00023523999356555184
real,12 -> 11,44.14000988,0.00023238884302364868
real,14 -> 10,42.72893302,0.00022495978897938521
real,7 -> 6,41.916610399999996,0.0002206830632981507
real,13 -> 3,41.46277757,0.00021829371887850584
real,13 -> 12,40.12797511,0.00021126623519221268
real,11 -> 13,39.12878015,0.0002060056618180623
real,13 -> 9,39.12878015,0.0002060056618180623
real,14 -> 8,38.0990754,0.0002005844601427795
real,12 -> 9,37.069370660000004,0.00019516325852014487
real,3 -> 6,35.63922521,0.00018763381193903693
real,4 -> 4,35.12437283,0.00018492321107507146
real,15 -> 16,34.39213834,0.00018106813432235393
real,6 -> 12,33.7743155,0.00017781541336983235
real,6 -> 3,33.61413921,0.00017697211535485418
real,8 -> 12,33.56074711,0.00017669101599897876
real,14 -> 16,33.55693338,0.0001766709374284321
real,11 -> 18,32.33272884,0.0001702257309717883
real,12 -> 16,31.25725947,0.00016456358718701958
real,4 -> 11,31.05131852,0.00016347934685196302
real,9 -> 12,30.868259899999998,0.00016251557767694565
real,5 -> 4,30.479260319999998,0.0001604675681142236
real,14 -> 2,29.93008447,0.00015757626064181966
real,12 -> 12,29.63261421,0.0001560101357192544
real,4 -> 13,29.449555580000002,0.00015504636649158894
real,9 -> 13,28.45036063,0.0001497857931700867
real,16 -> 15,27.95457685,0.0001471755848956138
real,18 -> 14,27.91643965,0.00014697479971662869
real,14 -> 9,27.733381020000003,0.00014601103048896322
real,3 -> 10,27.64185169,0.00014552914579615828
