scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,6874,3102,3058,2,1,1045,4,1,77.10101228,77.10101228,3.63493030
real,6875,3058,3062,1,2,396,4,1,77.10101228,77.10101228,3.63493030
real,6876,3062,3091,2,9,915,4,1,77.10101228,77.10101228,3.63493030
real,6877,3091,3058,9,1,955,4,1,77.10101228,77.10101228,3.63493030
real,6878,3060,3067,1,5,240,4,1,118.61807619,118.61807619,5.59225394
real,6879,3067,3068,5,10,285,4,1,118.61807619,118.61807619,5.59225394
real,6880,3068,3060,10,1,310,4,1,118.61807619,118.61807619,5.59225394
real,6881,3060,3094,1,9,555,4,1,118.61807619,118.61807619,5.59225394
real,6882,3094,3060,9,1,720,4,1,118.61807619,118.61807619,5.59225394
real,6883,3060,3059,1,5,840,4,1,118.61807619,118.61807619,5.59225394
real,6884,3059,3060,5,1,880,4,1,118.61807619,118.61807619,5.59225394
real,6885,3060,3062,1,7,1080,4,1,118.61807619,118.61807619,5.59225394
real,6886,3062,3060,7,1,1200,4,1,118.61807619,118.61807619,5.59225394
real,6889,2917,3060,2,1,981,4,1,143.23615032,143.23615032,6.75287402
real,6890,3060,3088,1,14,1095,4,2,143.23615032,71.61807516,3.37643701
real,6891,3088,3060,14,1,1237,4,2,143.23615032,71.61807516,3.37643701
real,6892,3060,3062,2,13,323,4,1,143.23615032,143.23615032,6.75287402
real,6893,3062,3060,13,2,392,4,1,143.23615032,143.23615032,6.75287402
real,6894,3060,3060,2,8,513,4,1,143.23615032,143.23615032,6.75287402
real,6895,3060,3060,8,2,521,4,1,143.23615032,143.23615032,6.75287402
real,6896,3060,3062,2,14,899,4,2,143.23615032,71.61807516,3.37643701
real,6897,3062,3060,14,2,907,4,1,143.23615032,143.23615032,6.75287402
real,6898,3060,3062,2,14,1017,4,1,143.23615032,143.23615032,6.75287402
real,6899,3062,3060,14,1,1026,4,2,143.23615032,71.61807516,3.37643701
real,6900,3060,3037,13,13,1020,4,1,77.10101228,77.10101228,3.63493030
real,6901,3037,3062,13,9,1083,4,1,77.10101228,77.10101228,3.63493030
real,6902,3062,3060,9,1,1101,4,1,77.10101228,77.10101228,3.63493030
real,6903,3064,3060,10,10,810,4,3,77.10101228,25.70033743,1.21164343
real,6904,3060,3064,10,1,830,4,3,77.10101228,25.70033743,1.21164343
real,6905,3064,3062,1,7,1084,4,3,77.10101228,25.70033743,1.21164343
real,6906,3062,3064,7,1,1264,4,3,77.10101228,25.70033743,1.21164343
real,6907,3064,3060,1,10,810,5,3,77.10101228,25.70033743,1.21164343
real,6908,3060,3064,10,1,830,5,3,77.10101228,25.70033743,1.21164343
real,6909,3064,3062,1,7,1084,5,3,77.10101228,25.70033743,1.21164343
real,6910,3062,3064,7,1,1264,5,3,77.10101228,25.70033743,1.21164343
real,6913,3060,3060,5,1,1107,4,1,205.81496276,205.81496276,9.70315463
real,6914,3060,3061,1,16,495,4,3,205.81496276,68.60498759,3.23438488
real,6915,3061,3060,16,1,533,4,2,205.81496276,102.90748138,4.85157732
real,6916,3060,3060,1,16,557,4,2,205.81496276,102.90748138,4.85157732
real,6917,3060,3060,16,1,568,4,1,205.81496276,205.81496276,9.70315463
real,6918,3060,3061,1,16,915,4,1,205.81496276,205.81496276,9.70315463
real,6919,3061,3060,16,16,935,4,2,205.81496276,102.90748138,4.85157732
real,6920,3060,3060,16,1,964,4,3,205.81496276,68.60498759,3.23438488
real,6921,3060,3058,1,14,1045,4,2,118.61807619,59.30903810,2.79612697
real,6922,3058,3060,14,1,1056,4,1,118.61807619,118.61807619,5.59225394
real,6923,3060,3059,1,13,1130,4,1,118.61807619,118.61807619,5.59225394
real,6924,3059,3060,13,1,1200,4,1,118.61807619,118.61807619,5.59225394
real,6925,3060,3055,1,16,435,4,2,118.61807619,59.30903810,2.79612697
real,6928,3058,3060,14,8,1134,4,2,118.61807619,59.30903810,2.79612697
real,6929,3060,3060,8,1,1147,4,2,118.61807619,59.30903810,2.79612697
real,6930,3057,3038,1,1,585,4,1,77.10101228,77.10101228,3.63493030
real,6931,3038,3057,1,13,719,4,1,77.10101228,77.10101228,3.63493030
real,6932,3057,3057,13,1,900,4,1,77.10101228,77.10101228,3.63493030
real,6933,3057,3059,1,5,665,4,1,77.10101228,77.10101228,3.63493030
real,6934,3059,3057,5,1,705,4,1,77.10101228,77.10101228,3.63493030
real,6935,3060,3059,1,10,708,4,2,77.10101228,38.55050614,1.81746515
real,6936,3059,3077,10,5,715,4,2,77.10101228,38.55050614,1.81746515
real,6937,3077,3077,5,5,780,4,2,77.10101228,38.55050614,1.81746515
real,6938,3077,3060,5,1,795,4,2,77.10101228,38.55050614,1.81746515
real,6939,3060,3060,1,10,920,4,2,77.10101228,38.55050614,1.81746515
