link_id,volume
osm_1007359306_21_rev,293
osm_1007359306_22_fwd,268
osm_1007359306_22_rev,293
osm_1007359306_23_fwd,268
osm_1007359306_23_rev,293
osm_1007359306_24_fwd,268
osm_1007359306_24_rev,293
osm_1007359306_25_fwd,268
osm_1007359306_25_rev,293
osm_1007359306_26_fwd,268
osm_1007359306_26_rev,293
osm_1007359306_27_fwd,268
osm_1007359306_27_rev,293
osm_1007359306_28_fwd,268
osm_1007359306_28_rev,293
osm_1007359306_29_fwd,268
osm_1007359306_29_rev,293
osm_1007359306_2_fwd,268
osm_1007359306_2_rev,293
osm_1007359306_30_fwd,268
osm_1007359306_30_rev,293
osm_1007359306_31_fwd,268
osm_1007359306_31_rev,293
osm_1007359306_32_fwd,268
osm_1007359306_32_rev,293
osm_1007359306_33_fwd,268
osm_1007359306_33_rev,293
osm_1007359306_34_fwd,268
osm_1007359306_34_rev,293
osm_1007359306_3_fwd,268
osm_1007359306_3_rev,293
osm_1007359306_4_fwd,268
osm_1007359306_4_rev,293
osm_1007359306_5_fwd,268
osm_1007359306_5_rev,293
osm_1007359306_6_fwd,268
osm_1007359306_6_rev,293
osm_1007359306_7_fwd,268
osm_1007359306_7_rev,293
osm_1007359306_8_fwd,268
osm_1007359306_8_rev,293
osm_1007359306_9_fwd,268
osm_1007359306_9_rev,293
osm_10075146_1_fwd,325
osm_10075146_1_rev,249
osm_10075146_2_fwd,325
osm_10075146_2_rev,249
osm_10075146_3_fwd,325
osm_10075146_3_rev,249
osm_100763317_1_fwd,44
osm_100763317_1_rev,41
osm_100763317_2_fwd,44
osm_100763317_2_rev,41
osm_100763317_3_fwd,44
osm_100763317_3_rev,41
osm_100763317_4_fwd,44
osm_100763317_4_rev,41
osm_100763317_5_fwd,44
osm_100763317_5_rev,41
osm_100763317_6_fwd,44
osm_100763317_6_rev,41
osm_100763317_7_fwd,44
osm_100763317_7_rev,41
osm_100763338_1_fwd,283
osm_100763338_1_rev,252
osm_100763338_2_fwd,283
osm_100763338_2_rev,252
osm_100763344_1_fwd,29
osm_100763344_1_rev,39
osm_100763344_2_fwd,29
osm_100763344_2_rev,39
osm_100763344_3_fwd,29
osm_100763344_3_rev,39
osm_100763344_4_fwd,29
osm_100763344_4_rev,39
osm_1008299391_1_fwd,102
osm_1008299391_1_rev,135
osm_1008299391_2_fwd,102
osm_1008299391_2_rev,135
osm_1008598506_1_fwd,69
osm_1008598506_1_rev,80
osm_1008598506_2_fwd,69
osm_1008598506_2_rev,80
osm_1008598506_3_fwd,69
osm_1008598506_3_rev,80
osm_1008598508_1_fwd,69
osm_1008598508_1_rev,80
osm_1008598508_2_fwd,69
osm_1008598508_2_rev,80
osm_1008600811_1_fwd,246
osm_1008600811_1_rev,230
osm_1008874880_1_fwd,78
osm_1008874880_1_rev,82
osm_1008874880_2_fwd,78
osm_1008874880_2_rev,82
osm_1008874880_3_fwd,78
osm_1008874880_3_rev,82
osm_1008874880_4_fwd,78
osm_1008874880_4_rev,82
osm_1008875055_1_fwd,95
osm_1008875055_1_rev,102
osm_1008875055_2_fwd,95
osm_1008875055_2_rev,102
osm_1008875055_3_fwd,95
osm_1008875055_3_rev,102
osm_1008875080_1_fwd,3
osm_1008875080_1_rev,2
osm_1008875080_2_fwd,3
osm_1008875080_2_rev,2
osm_1008875080_3_fwd,3
osm_1008875080_3_rev,2
osm_1008875306_1_fwd,79
osm_1008875306_1_rev,83
osm_1008875306_2_fwd,79
osm_1008875306_2_rev,83
osm_1008875306_3_fwd,79
osm_1008875306_3_rev,83
osm_1009124486_1_fwd,100
osm_1009124486_1_rev,66
osm_1009124486_2_fwd,100
osm_1009124486_2_rev,66
osm_1009177396_1_fwd,487
osm_1009177396_1_rev,447
osm_1009188031_1_fwd,69
osm_1009188031_1_rev,75
osm_1009188383_1_fwd,49
osm_1009188383_1_rev,19
osm_1009188383_2_fwd,49
osm_1009188383_2_rev,19
osm_1009188383_3_fwd,49
osm_1009188383_3_rev,19
osm_1009188383_4_fwd,49
osm_1009188383_4_rev,19
osm_1009188383_5_fwd,49
osm_1009188383_5_rev,19
osm_1009188383_6_fwd,49
osm_1009188383_6_rev,19
osm_1009188383_7_fwd,49
osm_1009188383_7_rev,19
osm_1009188383_8_fwd,49
osm_1009188383_8_rev,19
osm_1009188384_1_fwd,4
osm_1009188384_1_rev,3
osm_1009188384_2_fwd,4
osm_1009188384_2_rev,3
osm_1009188387_1_fwd,4
osm_1009188387_1_rev,3
osm_1009188387_2_fwd,4
osm_1009188387_2_rev,3
osm_1009201187_1_fwd,112
osm_1009201187_1_rev,126
osm_1009201187_2_fwd,112
osm_1009201187_2_rev,126
osm_1009201187_3_fwd,276
osm_1009201187_3_rev,277
osm_1009201188_2_fwd,11
osm_1009201188_2_rev,22
osm_1009201188_3_fwd,11
osm_1009201188_3_rev,22
osm_1009201188_4_fwd,11
osm_1009201188_4_rev,22
osm_1009201188_5_fwd,11
