example_id,o_tract_fips,d_tract_fips,path_order,first_raw_position,path_occurrences,screenline_id,tract_a,tract_b,screenline_color,shared_boundary_m,is_validation_candidate,is_in_cached_validation_path,mapped_mdot_station_ids,mapped_fhwa_station_ids
18,11001001401,24033807407,8,8,1,24031702101__24031702200,24031702101,24031702200,#7f7f7f,1973.525848698601,True,True,B2835;B2836;S2000150185;S2000150186;S2000150188;S2013150136,
18,11001001401,24033807407,9,9,1,24031702101__24031702102,24031702101,24031702102,#bcbd22,984.3815623931772,True,True,S2000150185;S2000150186;S2000150187;S2013150136,
18,11001001401,24033807407,10,10,1,24031701505__24031702102,24031701505,24031702102,#17becf,1934.0540047698062,True,True,P0041,P0041
18,11001001401,24033807407,11,11,1,24031701505__24031701509,24031701505,24031701509,#aec7e8,3056.6225823080053,True,True,B2912;B2913;B2914;S2000150199;S2001150029;S2001150030;S2001150034,
18,11001001401,24033807407,12,12,1,24031701421__24031701509,24031701421,24031701509,#ffbb78,1514.5009368089056,False,False,,
18,11001001401,24033807407,13,13,1,24031701420__24031701421,24031701420,24031701421,#98df8a,2322.161205055963,True,True,B150074;S2006150069;S2006150070;S2006150071;S2006150072;S2006150073;S2006150074;S2006150075;S2006150076,
18,11001001401,24033807407,14,14,1,24031701420__24033807410,24031701420,24033807410,#ff9896,921.3373574103144,False,False,,
18,11001001401,24033807407,15,15,1,24033807407__24033807410,24033807407,24033807410,#c5b0d5,1581.6916675875982,True,True,B160022;S2012161182,
19,24027606803,24031700901,1,1,1,24027606803__24027606806,24027606803,24027606806,#1f77b4,4884.074735093533,False,False,,
19,24027606803,24031700901,2,3,1,24027605102__24031701408,24027605102,24031701408,#ff7f0e,7120.51302699599,True,True,S2005130040,
19,24027606803,24031700901,3,5,1,24031701407__24031703221,24031701407,24031703221,#2ca02c,3944.1535748315046,True,True,B2787,
19,24027606803,24031700901,4,6,1,24031701308__24031703221,24031701308,24031703221,#d62728,2464.218623349982,True,True,B2788;S2012150896,
19,24027606803,24031700901,5,7,1,24031701308__24031703218,24031701308,24031703218,#9467bd,670.5254401082223,True,True,B2975,
19,24027606803,24031700901,6,8,1,24031703218__24031703219,24031703218,24031703219,#8c564b,1497.8665562969177,True,True,,
19,24027606803,24031700901,7,10,1,24031701303__24031703202,24031701303,24031703202,#e377c2,3869.144064972122,True,True,B150081;S2012150828,
19,24027606803,24031700901,8,12,1,24031700902__24031700903,24031700902,24031700903,#7f7f7f,1388.5900498608646,True,True,B2715,
20,24510100300,24005402306,1,1,1,24510100300__24510110100,24510100300,24510110100,#1f77b4,391.13288397514134,True,True,S2010240003;S2010240004;S2010240092;S2010240093,
