column_a,column_b,kind_a,kind_b,real_unique_pairs,synthetic_unique_pairs,cross_marginal_overlap,total_variation_distance
park_pay,walk_bike_loop_trips,categorical,numeric,13,11,0.95969168,0.04030832
transit_egress_mode,tdate_dow,categorical,categorical,35,35,0.95969612,0.04030388
vehicle_occupancy,numdisabilities,numeric,numeric,31,20,0.95970386,0.04029614
j1_benefits_free_parking,school_freq,categorical,categorical,27,27,0.95972101,0.04027899
subway_pay,volunteer_status,categorical,categorical,21,12,0.95973329,0.04026671
vehicle_occupancy,license,numeric,categorical,17,13,0.95976548,0.04023452
subway_access_mode,j1_benefits_transit,categorical,categorical,18,18,0.95982749,0.04017251
toll_road_used,walk_bike_loop_trips,categorical,numeric,13,11,0.95986726,0.04013274
package_delivered,j1_benefits_free_parking,categorical,categorical,6,6,0.95987579,0.04012421
subway_used,volunteer_status,categorical,categorical,4,4,0.95987878,0.04012122
j1_benefits_ev_charging,volunteer_status,categorical,categorical,6,6,0.95988196,0.04011804
j1_benefits_parking,volunteer_status,categorical,categorical,6,6,0.95988422,0.04011578
bodytype,disability,categorical,categorical,15,14,0.95991506,0.04008494
jobs_count,student_status,numeric,categorical,12,11,0.95992376,0.04007624
transit_access_mode,bodytype,categorical,categorical,33,28,0.95994167,0.04005833
subway_egress_mode,disability,categorical,categorical,12,11,0.96008079,0.03991921
package_delivered,race_ethnicity_hispanic,categorical,categorical,4,4,0.96008284,0.03991716
travelers_nonhh,tdate_dow,categorical,categorical,40,30,0.96010670,0.03989330
travelers_nonhh,j1_workplace_loc,categorical,categorical,40,29,0.96010924,0.03989076
transit_access_mode,tdate_dow,categorical,categorical,35,32,0.96015278,0.03984722
vehicle_occupancy,tdate_dow,numeric,categorical,42,35,0.96019024,0.03980976
tdate_dow,j1_benefits_free_parking,categorical,categorical,15,15,0.96020791,0.03979209
smartphone,school_freq,categorical,categorical,18,18,0.96026051,0.03973949
j1_telecommute_days,school_freq,numeric,categorical,45,48,0.96028041,0.03971959
subway_used,j1_benefits_transit,categorical,categorical,6,6,0.96030024,0.03969976
subway_station_exit,numdisabilities,categorical,numeric,192,138,0.96047294,0.03952706
subway_pay,j1_benefits_carpool,categorical,categorical,27,14,0.96047936,0.03952064
j1_benefits_bicycle_parking,td_shop_time,categorical,numeric,22,16,0.96049992,0.03950008
toll_road_used,package_delivered,categorical,categorical,4,4,0.96050503,0.03949497
transit_egress_mode,bodytype,categorical,categorical,34,33,0.96052003,0.03947997
service_delivered,j1_benefits_carpool,categorical,categorical,6,6,0.96052623,0.03947377
subway_station_board,numdisabilities,categorical,numeric,193,137,0.96054472,0.03945528
subway_pay,jobs_count,categorical,numeric,37,20,0.96060772,0.03939228
